Title,Author,Playtime,Male Count,Female Count
域地-ikichi-,サカイリユリカ,60～90分,3,3
春の遭難者,滝本祥生,60～90分,1,5
ト音,春陽漁介,90～120分,6,4
愛の渦（再演）,三浦大輔,90～120分,7,5
をんな善哉,鈴木聡,90～120分,6,4
村田さん,鈴木聡,20～40分,3,2
絶対飛行機,佐藤信,90～120分,3,4
夜のプラタナス,長谷川孝治,90～120分,1,2
ゴジラ,大橋泰彦,60～90分,5,5
山彦ものがたり,有吉佐和子,90～120分,5,5
三婆,小幡欣治,3時間以上,10,10
事件という名の事件,ふじたあさや,90～120分,6,3
人類館,知念正真,90～120分,2,1
キレイ-神様と待ち合わせした女-,松尾スズキ,3時間以上,14,13
にしむくさむらい,別役実,40～60分,3,2
青い実をたべたーさと子の場合ー,市堂令（劇団青い鳥）,2時間～3時間,0,5
ザ・キャラクター,野田秀樹,2時間～3時間,7,3
母と惑星について、および自転する女たちの記録,蓬莱竜太,2時間～3時間,0,4
野獣降臨,野田秀樹,90～120分,7,4
たたかう女,坂手洋二,60～90分,0,1
最後の一人までが全体である,坂手洋二,2時間～3時間,15,10
食卓の木の下で 〜あの日、あの時、みんな笑った〜,高泉淳子,90～120分,2,4
